                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.0875,                0.50013,                 1.0945,                0.98373,                 0.9875,                0.99301,                0.75151,                0.98988,                0.34436,                 1.0782,              0.0099085,              0.0099085,              0.0099085
                     52,                 1.0871,                 0.4997,                 1.0898,                0.98359,                 0.9877,                0.99306,                0.75164,                0.98935,                0.34421,                 1.0781,              0.0099066,              0.0099066,              0.0099066
                     53,                 1.0861,                0.49891,                 1.0921,                  0.984,                0.98771,                0.99308,                0.75158,                0.98923,                0.34436,                  1.078,              0.0099047,              0.0099047,              0.0099047
                     54,                 1.0784,                0.49454,                 1.0927,                0.98412,                0.98817,                0.99309,                0.75157,                0.98927,                0.34405,                 1.0779,              0.0099029,              0.0099029,              0.0099029
                     55,                 1.0805,                0.49461,                 1.0912,                0.98496,                0.98789,                0.99314,                0.75165,                0.98889,                0.34349,                 1.0775,               0.009901,               0.009901,               0.009901
                     56,                 1.0871,                0.49621,                 1.0934,                 0.9852,                0.98827,                0.99327,                0.75173,                 0.9888,                0.34309,                 1.0773,              0.0098991,              0.0098991,              0.0098991
                     57,                 1.0793,                0.49218,                 1.0931,                0.98465,                0.98864,                0.99329,                0.75181,                 0.9884,                0.34252,                  1.077,              0.0098973,              0.0098973,              0.0098973
                     58,                 1.0803,                0.49296,                 1.0919,                0.98469,                0.98916,                0.99335,                0.75199,                0.98834,                 0.3419,                 1.0766,              0.0098954,              0.0098954,              0.0098954
                     59,                 1.0806,                0.49396,                 1.0907,                0.98449,                0.98956,                0.99336,                0.75235,                0.98825,                0.34152,                 1.0758,              0.0098935,              0.0098935,              0.0098935
                     60,                 1.0778,                0.49266,                 1.0918,                0.98458,                0.98961,                0.99338,                0.75265,                0.98779,                0.34131,                 1.0758,              0.0098917,              0.0098917,              0.0098917
                     61,                 1.0811,                0.49271,                 1.0903,                0.98477,                0.98979,                0.99341,                0.75282,                0.98762,                0.34113,                 1.0757,              0.0098898,              0.0098898,              0.0098898
                     62,                 1.0795,                0.49354,                 1.0923,                0.98459,                0.98969,                0.99343,                0.75271,                0.98732,                0.34117,                 1.0756,              0.0098879,              0.0098879,              0.0098879
                     63,                 1.0749,                0.49097,                 1.0956,                0.98477,                0.98975,                0.99344,                0.75284,                0.98699,                 0.3412,                 1.0757,              0.0098861,              0.0098861,              0.0098861
                     64,                 1.0762,                0.49424,                 1.0927,                0.98494,                0.98984,                0.99345,                0.75298,                0.98733,                0.34131,                 1.0757,              0.0098842,              0.0098842,              0.0098842
                     65,                 1.0719,                0.49263,                 1.0907,                0.98507,                0.99022,                0.99349,                0.75303,                0.98751,                0.34163,                 1.0757,              0.0098823,              0.0098823,              0.0098823
                     66,                 1.0733,                0.49111,                 1.0906,                0.98503,                 0.9902,                0.99351,                0.75269,                0.98739,                0.34145,                 1.0754,              0.0098805,              0.0098805,              0.0098805
                     67,                 1.0761,                0.48957,                 1.0924,                0.98506,                0.99038,                0.99352,                0.75274,                0.98776,                0.34102,                 1.0756,              0.0098786,              0.0098786,              0.0098786
